,RT,RT_chromatic,RT_diatonic,RT_diatonic_shifted,RT_diatonic_swapped,RT_diatonic_neither,RT_chromatic_shifted,RT_chromatic_swapped,RT_chromatic_neither,diatonic_trials,chromatic_trials,diatonic_chose_shifted,diatonic_chose_swapped,diatonic_chose_neither,diatonic_trials (NN),chromatic_chose_shifted,chromatic_chose_swapped,chromatic_chose_neither,chromatic_trials (NN),melody_length,subject,RT_diatonic_sh-sw,RT_chromatic_sh-sw,RT_swapped_c-d,RT_shifted_c-d,rate_diatonic_shifted,rate_diatonic_shifted (NN),rate_diatonic_swapped,rate_diatonic_swapped (NN),rate_diatonic_neither,rate_chromatic_shifted,rate_chromatic_shifted (NN),rate_chromatic_swapped,rate_chromatic_swapped (NN),rate_chromatic_neither,diatonic_sh-sw,diatonic_sh-sw (NN),chromatic_sh-sw,chromatic_sh-sw (NN)
0,1075.0300000031789,1106.5000000059604,1043.5600000003974,1074.9868421052631,981.5523809535163,1151.5,1065.692592598774,1060.8406250067055,3669.399999976158,60.0,60.0,38.0,21.0,1.0,59.0,27.0,32.0,1.0,59.0,8.0,S1C0800,93.43446115174686,4.851967592068377,79.28824405318926,-9.294249506489223,0.6333333333333333,0.6440677966101694,0.35,0.3559322033898305,0.016666666666666666,0.45,0.4576271186440678,0.5333333333333333,0.5423728813559322,0.016666666666666666,0.2833333333333333,0.28813559322033894,-0.08333333333333331,-0.0847457627118644
120,1841.4766666730245,1699.785000002384,1983.1683333436647,1930.7125000059605,2347.3727272640576,1500.7714286191124,1374.315789498781,1701.5588235434363,1956.1916666428249,60.0,60.0,24.0,22.0,14.0,46.0,19.0,17.0,24.0,36.0,8.0,S1C0804,-416.66022725809717,-327.24303404465536,-645.8139037206213,-556.3967105071795,0.4,0.5217391304347826,0.36666666666666664,0.4782608695652174,0.23333333333333334,0.31666666666666665,0.5277777777777778,0.2833333333333333,0.4722222222222222,0.4,0.03333333333333338,0.04347826086956519,0.033333333333333326,0.05555555555555558
240,1573.2033333351214,1971.0500000059606,1175.3566666642826,1044.7093023172645,1443.6375000178814,2500.6999999284744,1461.124999995033,1569.3935484001713,6908.9600000143055,60.0,60.0,43.0,16.0,1.0,59.0,24.0,31.0,5.0,55.0,8.0,S1C0806,-398.9281977006169,-108.26854840513829,125.75604838228992,416.41569767776855,0.7166666666666667,0.7288135593220338,0.26666666666666666,0.2711864406779661,0.016666666666666666,0.4,0.43636363636363634,0.5166666666666667,0.5636363636363636,0.08333333333333333,0.45,0.45762711864406774,-0.1166666666666667,-0.12727272727272726
360,13683.217500003178,18734.696666671833,8631.738333334526,4342.688888887565,3286.7249999990067,11266.138461540906,5214.7666666607065,4363.06666666766,24772.295238103186,60.0,60.0,9.0,12.0,39.0,21.0,6.0,12.0,42.0,18.0,8.0,S1C0808,1055.963888888558,851.6999999930467,1076.341666668653,872.0777777731419,0.15,0.42857142857142855,0.2,0.5714285714285714,0.65,0.1,0.3333333333333333,0.2,0.6666666666666666,0.7,-0.05000000000000002,-0.14285714285714285,-0.1,-0.3333333333333333
480,1532.553333332638,1684.6599999986588,1380.446666666617,905.8093749987893,1698.5058823552201,2269.6636363633656,1384.6633333310485,1797.8095238088142,2420.6333333336643,60.0,60.0,32.0,17.0,11.0,49.0,30.0,21.0,9.0,51.0,8.0,S1C0809,-792.6965073564309,-413.1461904777657,99.30364145359408,478.85395833225925,0.5333333333333333,0.6530612244897959,0.2833333333333333,0.3469387755102041,0.18333333333333332,0.5,0.5882352941176471,0.35,0.4117647058823529,0.15,0.25,0.3061224489795918,0.15000000000000002,0.17647058823529416
600,1992.8916666696468,2619.605000005166,1366.178333334128,1123.9581395332204,2068.035714302744,1562.6666666269302,1936.8380952392306,3229.0696969754767,1657.233333349228,60.0,60.0,43.0,14.0,3.0,57.0,21.0,33.0,6.0,54.0,8.0,S1C0811,-944.0775747695236,-1292.2316017362461,1161.0339826727327,812.8799557060102,0.7166666666666667,0.7543859649122807,0.23333333333333334,0.24561403508771928,0.05,0.35,0.3888888888888889,0.55,0.6111111111111112,0.1,0.48333333333333334,0.5087719298245614,-0.20000000000000007,-0.22222222222222227
720,1840.2491666659712,1829.0683333337306,1851.4299999982118,1915.55,1671.6645161278786,2328.133333325386,1859.2555555568802,1680.0131578931682,2243.869230774733,60.0,60.0,20.0,31.0,9.0,51.0,9.0,38.0,13.0,47.0,8.0,S1C0812,243.8854838721213,179.24239766371193,8.348641765289585,-56.2944444431198,0.3333333333333333,0.39215686274509803,0.5166666666666667,0.6078431372549019,0.15,0.15,0.19148936170212766,0.6333333333333333,0.8085106382978723,0.21666666666666667,-0.1833333333333334,-0.21568627450980388,-0.4833333333333333,-0.6170212765957446
840,1981.379999999997,1730.2650000000992,2232.4949999998944,2339.696153846211,1650.416666666201,2423.2999999998983,903.4315789475253,1762.9904761906005,2481.3950000000186,60.0,60.0,26.0,12.0,22.0,38.0,19.0,21.0,20.0,40.0,8.0,S1C0813,689.2794871800099,-859.5588972430752,112.5738095243994,-1436.2645748986856,0.43333333333333335,0.6842105263157895,0.2,0.3157894736842105,0.36666666666666664,0.31666666666666665,0.475,0.35,0.525,0.3333333333333333,0.23333333333333334,0.368421052631579,-0.033333333333333326,-0.050000000000000044
960,1502.0408333222072,1650.6999999841055,1353.3816666603088,1296.2068965517242,991.9428571462631,1748.57058821005,1228.1615384358627,1097.1576923040243,2597.6095237845466,60.0,60.0,29.0,14.0,17.0,43.0,13.0,26.0,21.0,39.0,8.0,S1C0814,304.26403940546106,131.00384613183837,105.21483515776117,-68.04535811586152,0.48333333333333334,0.6744186046511628,0.23333333333333334,0.32558139534883723,0.2833333333333333,0.21666666666666667,0.3333333333333333,0.43333333333333335,0.6666666666666666,0.35,0.25,0.34883720930232553,-0.21666666666666667,-0.3333333333333333
1080,1575.514166666443,1648.6049999989568,1502.4233333339293,1327.000000000596,1287.8200000007948,1882.655000000447,1969.2882352927152,1219.2647058805999,1719.649999999656,60.0,60.0,25.0,15.0,20.0,40.0,17.0,17.0,26.0,34.0,8.0,S1C0817,39.17999999980111,750.0235294121153,-68.55529412019496,642.2882352921192,0.4166666666666667,0.625,0.25,0.375,0.3333333333333333,0.2833333333333333,0.5,0.2833333333333333,0.5,0.43333333333333335,0.16666666666666669,0.25,0.0,0.0
1200,1254.6133333333612,874.4316666666418,1634.7950000000808,1426.2137931034868,1426.9500000001196,5590.966666666791,1015.5187500000466,818.3302325580789,1029.4000000003725,60.0,60.0,29.0,28.0,3.0,57.0,16.0,43.0,1.0,59.0,8.0,S1C0819,-0.7362068966328934,197.18851744196763,-608.6197674420407,-410.6950431034402,0.48333333333333334,0.5087719298245614,0.4666666666666667,0.49122807017543857,0.05,0.26666666666666666,0.2711864406779661,0.7166666666666667,0.7288135593220338,0.016666666666666666,0.016666666666666663,0.01754385964912286,-0.45,-0.45762711864406774
1320,2828.837499999379,2422.704999999454,3234.9699999993045,1626.8882352955202,1472.3062499985099,5292.007407405862,1746.0066666672626,2031.346428571003,3664.3823529394235,60.0,60.0,17.0,16.0,27.0,33.0,15.0,28.0,17.0,43.0,8.0,S1C0820,154.5819852970103,-285.3397619037403,559.040178572493,119.11843137174242,0.2833333333333333,0.5151515151515151,0.26666666666666666,0.48484848484848486,0.45,0.25,0.3488372093023256,0.4666666666666667,0.6511627906976745,0.2833333333333333,0.016666666666666663,0.030303030303030276,-0.21666666666666667,-0.3023255813953489
1440,1009.3808333331098,1099.3600000003973,919.4016666658223,927.0184210511414,908.157142857001,866.1000000089407,974.3956521736538,1133.4500000009107,2746.2999999970198,60.0,60.0,38.0,21.0,1.0,59.0,23.0,36.0,1.0,59.0,8.0,S1C0823,18.861278194140482,-159.05434782725683,225.2928571439097,47.3772311225124,0.6333333333333333,0.6440677966101694,0.35,0.3559322033898305,0.016666666666666666,0.38333333333333336,0.3898305084745763,0.6,0.6101694915254238,0.016666666666666666,0.2833333333333333,0.28813559322033894,-0.21666666666666662,-0.22033898305084748
1560,10060.542499999205,17507.44500000179,2613.6399999966225,2598.6038461510952,1806.2999999986755,5783.514285700662,1735.390000000596,1505.6629629664951,75006.61538461539,60.0,60.0,26.0,27.0,7.0,53.0,20.0,27.0,13.0,47.0,8.0,S1C0824,792.3038461524197,229.72703703410093,-300.6370370321804,-863.2138461504992,0.43333333333333335,0.49056603773584906,0.45,0.5094339622641509,0.11666666666666667,0.3333333333333333,0.425531914893617,0.45,0.574468085106383,0.21666666666666667,-0.016666666666666663,-0.018867924528301883,-0.1166666666666667,-0.148936170212766
1680,1121.553333333383,966.3266666650773,1276.780000001689,806.4315789483095,1252.8777777800958,1684.0347826105096,1035.159999997914,706.9583333333334,1269.3374999966472,60.0,60.0,19.0,18.0,23.0,37.0,20.0,24.0,16.0,44.0,8.0,S1C0826,-446.4461988317863,328.20166666458056,-545.9194444467624,228.72842104960444,0.31666666666666665,0.5135135135135135,0.3,0.4864864864864865,0.38333333333333336,0.3333333333333333,0.45454545454545453,0.4,0.5454545454545454,0.26666666666666666,0.016666666666666663,0.027027027027026973,-0.06666666666666671,-0.09090909090909088
1800,2121.9283333351214,1713.375,2530.481666670243,1481.12083333234,1790.2200000047683,4258.509523817471,1057.9863636331124,1489.995454544371,2921.6812500059605,60.0,60.0,24.0,15.0,21.0,39.0,22.0,22.0,16.0,44.0,8.0,S1C0827,-309.0991666724283,-432.00909091125845,-300.2245454603974,-423.13446969922757,0.4,0.6153846153846154,0.25,0.38461538461538464,0.35,0.36666666666666664,0.5,0.36666666666666664,0.5,0.26666666666666666,0.15000000000000002,0.23076923076923078,0.0,0.0
1920,1759.3233333388964,1937.09833334287,1581.5483333349227,1032.6545454155314,3186.6600001017255,1656.2000002861023,2045.8718750178814,1519.5920000076294,4256.066666603088,60.0,60.0,44.0,15.0,1.0,59.0,32.0,25.0,3.0,57.0,8.0,S1C0828,-2154.005454686194,526.279875010252,-1667.068000094096,1013.21732960235,0.7333333333333333,0.7457627118644068,0.25,0.2542372881355932,0.016666666666666666,0.5333333333333333,0.5614035087719298,0.4166666666666667,0.43859649122807015,0.05,0.4833333333333333,0.4915254237288136,0.11666666666666664,0.12280701754385964
2040,1438.548333334302,1494.4633333352706,1382.6333333333334,1003.6175000000745,1003.6999999992549,2898.641666666915,1020.1937500014901,1177.3095238130718,2113.9652173920817,60.0,60.0,40.0,8.0,12.0,48.0,16.0,21.0,23.0,37.0,8.0,S1C0830,-0.0824999991804134,-157.11577381158168,173.60952381381685,16.576250001415588,0.6666666666666666,0.8333333333333334,0.13333333333333333,0.16666666666666666,0.2,0.26666666666666666,0.43243243243243246,0.35,0.5675675675675675,0.38333333333333336,0.5333333333333333,0.6666666666666667,-0.08333333333333331,-0.1351351351351351
2160,1975.2174999999504,2033.6350000000868,1916.7999999998137,1657.4785714283407,2197.792307692365,3364.519999999553,2120.195833333613,1567.2416666663873,2793.3000000004345,60.0,60.0,42.0,13.0,5.0,55.0,24.0,24.0,12.0,48.0,8.0,S1C0831,-540.3137362640241,552.9541666672255,-630.5506410259775,462.71726190527215,0.7,0.7636363636363637,0.21666666666666667,0.23636363636363636,0.08333333333333333,0.4,0.5,0.4,0.5,0.2,0.4833333333333333,0.5272727272727273,0.0,0.0
2280,1650.65499999548,1915.091666661203,1386.2183333297571,1303.0399999967642,1418.2833333301048,3527.899999976158,2683.7095238055504,1429.0944444371594,2366.733333339294,60.0,60.0,35.0,24.0,1.0,59.0,21.0,36.0,3.0,57.0,8.0,S1C0835,-115.24333333334062,1254.615079368391,10.811111107054558,1380.6695238087862,0.5833333333333334,0.5932203389830508,0.4,0.4067796610169492,0.016666666666666666,0.35,0.3684210526315789,0.6,0.631578947368421,0.05,0.18333333333333335,0.18644067796610164,-0.25,-0.2631578947368421
2400,2144.774166666468,2084.1783333400886,2205.3699999928476,2130.4033333222073,2046.5840000009537,3449.099999976158,2213.7851851957817,2027.7137931092032,1618.699999988079,60.0,60.0,30.0,25.0,5.0,55.0,27.0,29.0,4.0,56.0,8.0,S1C0836,83.81933332125368,186.0713920865785,-18.870206891750513,83.3818518735743,0.5,0.5454545454545454,0.4166666666666667,0.45454545454545453,0.08333333333333333,0.45,0.48214285714285715,0.48333333333333334,0.5178571428571429,0.06666666666666667,0.08333333333333331,0.09090909090909088,-0.033333333333333326,-0.035714285714285754
2520,1423.5325000007947,1557.2499999990066,1289.8150000025828,1966.119999998808,1099.870833337307,2466.949999988079,3454.7833333412805,1280.7980392142838,2461.8666666547456,60.0,60.0,10.0,48.0,2.0,58.0,6.0,51.0,3.0,57.0,8.0,S1C0838,866.249166661501,2173.9852941269965,180.9272058769768,1488.6633333424725,0.16666666666666666,0.1724137931034483,0.8,0.8275862068965517,0.03333333333333333,0.1,0.10526315789473684,0.85,0.8947368421052632,0.05,-0.6333333333333334,-0.6551724137931034,-0.75,-0.7894736842105263
2640,3828.4358333333084,3151.5966666676104,4505.2749999990065,3589.6095238093817,4064.9419354820443,8615.1875,3380.6541666680328,2313.0499999998856,4782.080000002682,60.0,60.0,21.0,31.0,8.0,52.0,24.0,26.0,10.0,50.0,8.0,S1C0839,-475.3324116726626,1067.6041666681472,-1751.8919354821587,-208.95535714134894,0.35,0.40384615384615385,0.5166666666666667,0.5961538461538461,0.13333333333333333,0.4,0.48,0.43333333333333335,0.52,0.16666666666666666,-0.16666666666666674,-0.1923076923076923,-0.033333333333333326,-0.040000000000000036
2760,7989.090000000161,10917.161666667338,5061.018333332986,2973.9086956517854,6267.941666666418,9615.29999999702,13611.11200000137,10294.990000000347,1180.439999999106,60.0,60.0,23.0,36.0,1.0,59.0,25.0,30.0,5.0,55.0,12.0,S1C1202,-3294.032971014633,3316.1220000010235,4027.048333333929,10637.203304349585,0.38333333333333336,0.3898305084745763,0.6,0.6101694915254238,0.016666666666666666,0.4166666666666667,0.45454545454545453,0.5,0.5454545454545454,0.08333333333333333,-0.21666666666666662,-0.22033898305084748,-0.08333333333333331,-0.09090909090909088
2880,1509.2074999849,1527.0433333396911,1491.371666630109,1001.4586206469043,1590.8333332538605,2176.315789473684,1432.4192307912385,1609.4758620755426,1540.9799999237061,60.0,60.0,29.0,12.0,19.0,41.0,26.0,29.0,5.0,55.0,12.0,S1C1204,-589.3747126069562,-177.0566312843041,18.642528821682163,430.9606101443343,0.48333333333333334,0.7073170731707317,0.2,0.2926829268292683,0.31666666666666665,0.43333333333333335,0.4727272727272727,0.48333333333333334,0.5272727272727272,0.08333333333333333,0.2833333333333333,0.4146341463414634,-0.04999999999999999,-0.05454545454545451
3000,3139.5150000000217,3632.973333333363,2646.0566666666805,2591.3310344827296,2797.605555555602,2558.3000000000643,4117.250000000031,3233.452941176509,3037.8615384615528,60.0,60.0,29.0,18.0,13.0,47.0,30.0,17.0,13.0,47.0,12.0,S1C1205,-206.27452107287263,883.7970588235221,435.8473856209066,1525.9189655173013,0.48333333333333334,0.6170212765957447,0.3,0.3829787234042553,0.21666666666666667,0.5,0.6382978723404256,0.2833333333333333,0.3617021276595745,0.21666666666666667,0.18333333333333335,0.23404255319148937,0.21666666666666667,0.2765957446808511
3120,1489.6566666702429,1956.333333337307,1022.9800000031789,928.6857142888364,996.3900000035762,1551.2625000029802,1255.7636363587596,2559.425000011921,1808.9300000011922,60.0,60.0,42.0,10.0,8.0,52.0,22.0,28.0,10.0,50.0,12.0,S1C1206,-67.70428571473985,-1303.6613636531613,1563.0350000083447,327.07792206992326,0.7,0.8076923076923077,0.16666666666666666,0.19230769230769232,0.13333333333333333,0.36666666666666664,0.44,0.4666666666666667,0.56,0.16666666666666666,0.5333333333333333,0.6153846153846154,-0.10000000000000003,-0.12000000000000005
3240,101216.58083333341,199323.23000000007,3109.931666666766,3584.890909090638,2329.1875,3134.8439024392424,4599.771428570683,2865.219999999553,248184.77708333358,60.0,60.0,11.0,8.0,41.0,19.0,7.0,5.0,48.0,12.0,12.0,S1C1207,1255.7034090906382,1734.5514285711306,536.0324999995528,1014.8805194800452,0.18333333333333332,0.5789473684210527,0.13333333333333333,0.42105263157894735,0.6833333333333333,0.11666666666666667,0.5833333333333334,0.08333333333333333,0.4166666666666667,0.8,0.04999999999999999,0.1578947368421053,0.03333333333333334,0.16666666666666669
3360,2079.1200000001427,1938.660000000087,2219.5800000001987,1811.4714285716414,1903.1375000001863,24098.0,1125.176000000015,2627.3645161291765,1685.4750000000931,60.0,60.0,35.0,24.0,1.0,59.0,25.0,31.0,4.0,56.0,12.0,S1C1209,-91.66607142854491,-1502.1885161291616,724.2270161289903,-686.2954285716264,0.5833333333333334,0.5932203389830508,0.4,0.4067796610169492,0.016666666666666666,0.4166666666666667,0.44642857142857145,0.5166666666666667,0.5535714285714286,0.06666666666666667,0.18333333333333335,0.18644067796610164,-0.10000000000000003,-0.10714285714285715
3480,5610.1991666666545,3507.875,7712.523333333308,10249.022727273405,2843.239999999603,18996.96249999944,4162.0374999996275,2884.3862068966546,3848.057142857994,60.0,60.0,22.0,30.0,8.0,52.0,24.0,29.0,7.0,53.0,12.0,S1C1210,7405.782727273801,1277.6512931029729,41.1462068970518,-6086.985227273777,0.36666666666666664,0.4230769230769231,0.5,0.5769230769230769,0.13333333333333333,0.4,0.4528301886792453,0.48333333333333334,0.5471698113207547,0.11666666666666667,-0.13333333333333336,-0.1538461538461538,-0.08333333333333331,-0.09433962264150941
3600,5626.392500000323,9606.860000000894,1645.9249999997517,1982.268571428316,1074.763157895521,1492.5999999965231,5767.368965517858,18658.88000000119,3270.9363636374474,60.0,60.0,35.0,19.0,6.0,54.0,29.0,20.0,11.0,49.0,12.0,S1C1211,907.5054135327948,-12891.511034483334,17584.11684210567,3785.1003940895416,0.5833333333333334,0.6481481481481481,0.31666666666666665,0.35185185185185186,0.1,0.48333333333333334,0.5918367346938775,0.3333333333333333,0.40816326530612246,0.18333333333333332,0.2666666666666667,0.2962962962962963,0.15000000000000002,0.18367346938775508
3720,1802.835833333386,1730.495000000143,1875.1766666666294,1736.4722222222222,1962.7909090907567,3408.100000000559,1519.1891891894409,1935.9238095237386,3482.6500000003725,60.0,60.0,36.0,22.0,2.0,58.0,37.0,21.0,2.0,58.0,12.0,S1C1212,-226.31868686853454,-416.7346203342977,-26.86709956701816,-217.2830330327813,0.6,0.6206896551724138,0.36666666666666664,0.3793103448275862,0.03333333333333333,0.6166666666666667,0.6379310344827587,0.35,0.3620689655172414,0.03333333333333333,0.23333333333333334,0.24137931034482762,0.2666666666666667,0.2758620689655173
3840,1589.2933333329856,1588.1349999996523,1590.451666666319,1580.8499999996275,1367.6000000089407,1603.4028571422612,1417.4142857108798,2311.9666666669978,1467.2386363636363,60.0,60.0,24.0,1.0,35.0,25.0,7.0,9.0,44.0,16.0,12.0,S1C1214,213.24999999068677,-894.552380956118,944.366666658057,-163.4357142887477,0.4,0.96,0.016666666666666666,0.04,0.5833333333333334,0.11666666666666667,0.4375,0.15,0.5625,0.7333333333333333,0.38333333333333336,0.9199999999999999,-0.033333333333333326,-0.125
3960,3246.379166666294,3372.464999999851,3120.2933333327373,2617.0517241371604,2402.5499999984168,4858.820000000795,2840.6347826084366,3286.2909090905027,4314.326666667064,60.0,60.0,29.0,16.0,15.0,45.0,23.0,22.0,15.0,45.0,12.0,S1C1216,214.5017241387436,-445.65612648206616,883.740909092086,223.58305847127622,0.48333333333333334,0.6444444444444445,0.26666666666666666,0.35555555555555557,0.25,0.38333333333333336,0.5111111111111111,0.36666666666666664,0.4888888888888889,0.25,0.21666666666666667,0.2888888888888889,0.01666666666666672,0.0222222222222222
4080,2727.5008333345254,3111.0250000014903,2343.976666667561,1795.4571428605489,3268.577777773142,2709.028571431126,2390.710344829436,2185.636363639073,7694.099999997351,60.0,60.0,35.0,18.0,7.0,53.0,29.0,22.0,9.0,51.0,12.0,S1C1217,-1473.120634912593,205.07398119036316,-1082.941414134069,595.2532019688872,0.5833333333333334,0.660377358490566,0.3,0.33962264150943394,0.11666666666666667,0.48333333333333334,0.5686274509803921,0.36666666666666664,0.43137254901960786,0.15,0.2833333333333334,0.32075471698113206,0.1166666666666667,0.13725490196078427
4200,823.1675000000745,809.4883333332837,836.8466666668653,629.356097561012,874.50769230838,2173.100000000248,664.5416666666666,733.425,2494.324999999255,60.0,60.0,41.0,13.0,6.0,54.0,36.0,20.0,4.0,56.0,12.0,S1C1219,-245.151594747368,-68.88333333333333,-141.08269230838005,35.18556910565462,0.6833333333333333,0.7592592592592593,0.21666666666666667,0.24074074074074073,0.1,0.6,0.6428571428571429,0.3333333333333333,0.35714285714285715,0.06666666666666667,0.4666666666666667,0.5185185185185186,0.26666666666666666,0.28571428571428575
4320,2067.56999999991,2183.8999999998446,1951.2399999999752,1861.9944444443618,1584.5263157894738,2324.021739130435,2196.889999999944,1757.8749999996508,2457.091666666558,60.0,60.0,18.0,19.0,23.0,37.0,20.0,16.0,24.0,36.0,12.0,S1C1221,277.468128654888,439.0150000002932,173.348684210177,334.8955555555822,0.3,0.4864864864864865,0.31666666666666665,0.5135135135135135,0.38333333333333336,0.3333333333333333,0.5555555555555556,0.26666666666666666,0.4444444444444444,0.4,-0.016666666666666663,-0.027027027027026973,0.06666666666666665,0.11111111111111116
4440,2144.7575000032784,2526.3850000008943,1763.1300000056624,1112.7777777844005,2498.1000000039735,2219.1625000052154,2177.5166666656733,2311.91250000149,3161.2166666686535,20.0,20.0,9.0,3.0,8.0,12.0,6.0,8.0,6.0,14.0,12.0,S1C1223,-1385.322222219573,-134.39583333581686,-186.18750000248338,1064.7388888812727,0.45,0.75,0.15,0.25,0.4,0.3,0.42857142857142855,0.4,0.5714285714285714,0.3,0.30000000000000004,0.5,-0.10000000000000003,-0.14285714285714285
4480,1618.3408333336313,1585.8600000003973,1650.8216666668654,1648.602439023736,1649.3562500011176,1688.9666666736205,1699.900000000822,1463.0551724135876,1712.9500000029802,60.0,60.0,41.0,16.0,3.0,57.0,29.0,29.0,2.0,58.0,12.0,S1C1225,-0.7538109773815904,236.84482758723448,-186.30107758753002,51.29756097708605,0.6833333333333333,0.7192982456140351,0.26666666666666666,0.2807017543859649,0.05,0.48333333333333334,0.5,0.48333333333333334,0.5,0.03333333333333333,0.4166666666666667,0.4385964912280702,0.0,0.0
