,RT,RT_chromatic,RT_diatonic,RT_diatonic_shifted,RT_diatonic_swapped,RT_diatonic_neither,RT_chromatic_shifted,RT_chromatic_swapped,RT_chromatic_neither,diatonic_trials,chromatic_trials,diatonic_chose_shifted,diatonic_chose_swapped,diatonic_chose_neither,diatonic_trials (NN),chromatic_chose_shifted,chromatic_chose_swapped,chromatic_chose_neither,chromatic_trials (NN),melody_length,subject,RT_diatonic_sh-sw,RT_chromatic_sh-sw,RT_swapped_c-d,RT_shifted_c-d,rate_diatonic_shifted,rate_diatonic_shifted (NN),rate_diatonic_swapped,rate_diatonic_swapped (NN),rate_diatonic_neither,rate_chromatic_shifted,rate_chromatic_shifted (NN),rate_chromatic_swapped,rate_chromatic_swapped (NN),rate_chromatic_neither,diatonic_sh-sw,diatonic_sh-sw (NN),chromatic_sh-sw,chromatic_sh-sw (NN)
4600,2120.2741666684547,2215.031666670243,2025.5166666666667,1730.315789470547,1903.8100000083446,8851.399999976158,1411.051851850969,2900.7500000074506,1979.5,60.0,60.0,38.0,20.0,2.0,58.0,27.0,32.0,1.0,59.0,12.0,S1C1226,-173.49421053779747,-1489.6981481564817,996.939999999106,-319.2639376195782,0.6333333333333333,0.6551724137931034,0.3333333333333333,0.3448275862068966,0.03333333333333333,0.45,0.4576271186440678,0.5333333333333333,0.5423728813559322,0.016666666666666666,0.3,0.31034482758620685,-0.08333333333333331,-0.0847457627118644
4720,2056.028333333383,2747.1116666659714,1364.9450000007948,1026.124390243757,1894.6200000007948,2851.575000010431,1560.5461538456952,3690.4076923086095,3537.7374999932945,60.0,60.0,41.0,15.0,4.0,56.0,26.0,26.0,8.0,52.0,12.0,S1C1228,-868.4956097570378,-2129.8615384629143,1795.7876923078147,534.4217636019382,0.6833333333333333,0.7321428571428571,0.25,0.26785714285714285,0.06666666666666667,0.43333333333333335,0.5,0.43333333333333335,0.5,0.13333333333333333,0.43333333333333335,0.46428571428571425,0.0,0.0
4840,2527.7299999993916,2419.6733333328116,2635.786666665971,2988.179999999702,2392.3519999989867,1738.59999999851,2525.7086956526923,2339.7586206883707,2404.512499999255,60.0,60.0,30.0,25.0,5.0,55.0,23.0,29.0,8.0,52.0,12.0,S1C1230,595.8280000007153,185.95007496432163,-52.593379310616,-462.47130434700966,0.5,0.5454545454545454,0.4166666666666667,0.45454545454545453,0.08333333333333333,0.38333333333333336,0.4423076923076923,0.48333333333333334,0.5576923076923077,0.13333333333333333,0.08333333333333331,0.09090909090909088,-0.09999999999999998,-0.11538461538461542
4960,1805.6183333307504,1415.1533333301545,2196.0833333313467,714.5521739047507,1889.95,4560.66470588656,1009.1700000047683,1374.7434782515402,1947.4529411722633,60.0,60.0,23.0,20.0,17.0,43.0,20.0,23.0,17.0,43.0,12.0,S1C1236,-1175.3978260952495,-365.57347824677186,-515.2065217484599,294.6178261000176,0.38333333333333336,0.5348837209302325,0.3333333333333333,0.46511627906976744,0.2833333333333333,0.3333333333333333,0.46511627906976744,0.38333333333333336,0.5348837209302325,0.2833333333333333,0.050000000000000044,0.06976744186046507,-0.050000000000000044,-0.06976744186046507
5080,10919.887499999752,11069.028333332639,10770.746666666866,2055.5960000002383,13561.090000000597,18369.76,2445.24166666468,5844.992307692766,15966.111428570748,60.0,60.0,25.0,10.0,25.0,35.0,12.0,13.0,35.0,25.0,12.0,S1C1238,-11505.494000000359,-3399.750641028086,-7716.097692307831,389.6456666644417,0.4166666666666667,0.7142857142857143,0.16666666666666666,0.2857142857142857,0.4166666666666667,0.2,0.48,0.21666666666666667,0.52,0.5833333333333334,0.25,0.4285714285714286,-0.016666666666666663,-0.040000000000000036
5200,3956.7999999996273,4004.943333332489,3908.656666666766,3035.035000000149,2050.8153846137798,12351.057142860123,2060.0310344814225,2352.748000000119,20289.499999997515,60.0,60.0,40.0,13.0,7.0,53.0,29.0,25.0,6.0,54.0,12.0,S1C1239,984.2196153863692,-292.7169655186967,301.9326153863394,-975.0039655187265,0.6666666666666666,0.7547169811320755,0.21666666666666667,0.24528301886792453,0.11666666666666667,0.48333333333333334,0.5370370370370371,0.4166666666666667,0.46296296296296297,0.1,0.44999999999999996,0.509433962264151,0.06666666666666665,0.07407407407407413
5320,4117.975000000372,3883.963333334774,4351.986666665971,3128.9230769253695,3039.927272727544,5194.555555553486,3432.490000002086,4012.0157894735275,4198.080952383223,60.0,60.0,13.0,11.0,36.0,24.0,20.0,19.0,21.0,39.0,12.0,S1C1251,88.99580419782569,-579.5257894714414,972.0885167459837,303.56692307671665,0.21666666666666667,0.5416666666666666,0.18333333333333332,0.4583333333333333,0.6,0.3333333333333333,0.5128205128205128,0.31666666666666665,0.48717948717948717,0.35,0.033333333333333354,0.08333333333333331,0.016666666666666663,0.025641025641025605
5440,2455.405833332986,2378.2133333345255,2532.5983333314457,1878.8555555553348,2884.029166664928,3556.677777770493,2080.949999999787,3055.443478262943,1572.3333333366447,60.0,60.0,27.0,24.0,9.0,51.0,28.0,23.0,9.0,51.0,16.0,S1C1600,-1005.1736111095934,-974.4934782631558,171.4143115980146,202.09444444445217,0.45,0.5294117647058824,0.4,0.47058823529411764,0.15,0.4666666666666667,0.5490196078431373,0.38333333333333336,0.45098039215686275,0.15,0.04999999999999999,0.05882352941176472,0.08333333333333331,0.09803921568627455
5560,2442.9900000095367,2617.213333340486,2268.7666666785876,1614.6477272998202,3213.6399999141695,4455.754545450211,2297.4500000278153,2729.2050000190734,2956.868749961257,60.0,60.0,44.0,5.0,11.0,49.0,24.0,20.0,16.0,44.0,16.0,S1C1601,-1598.9922726143493,-431.75499999125805,-484.4349998950961,682.8022727279952,0.7333333333333333,0.8979591836734694,0.08333333333333333,0.10204081632653061,0.18333333333333332,0.4,0.5454545454545454,0.3333333333333333,0.45454545454545453,0.26666666666666666,0.6499999999999999,0.7959183673469388,0.06666666666666671,0.09090909090909088
5680,3020.004999999764,2544.125,3495.884999999528,3585.0687499996275,3395.749999999427,3370.699999999255,1983.499999999867,3016.7900000002237,3302.89999999851,60.0,60.0,32.0,26.0,2.0,58.0,28.0,30.0,2.0,58.0,16.0,S1C1602,189.31875000020045,-1033.2900000003567,-378.9599999992033,-1601.5687499997605,0.5333333333333333,0.5517241379310345,0.43333333333333335,0.4482758620689655,0.03333333333333333,0.4666666666666667,0.4827586206896552,0.5,0.5172413793103449,0.03333333333333333,0.09999999999999998,0.10344827586206895,-0.033333333333333326,-0.03448275862068967
5800,3299.1924999995776,3576.138333333532,3022.2466666656237,2703.6823529399494,3194.4666666651055,4465.160000002385,3486.930769231457,3312.215384614009,4723.812500003725,60.0,60.0,34.0,21.0,5.0,55.0,26.0,26.0,8.0,52.0,16.0,S1C1605,-490.78431372515615,174.71538461744785,117.7487179489035,783.2484162915075,0.5666666666666667,0.6181818181818182,0.35,0.38181818181818183,0.08333333333333333,0.43333333333333335,0.5,0.43333333333333335,0.5,0.13333333333333333,0.21666666666666667,0.23636363636363633,0.0,0.0
5920,1990.0241666666543,2135.4616666666852,1844.5866666666232,1740.2611111109663,1660.416666666977,1927.4444444443927,2384.6437499998137,1895.266666666682,2100.9437500001222,60.0,60.0,18.0,6.0,36.0,24.0,16.0,12.0,32.0,28.0,16.0,S1C1608,79.84444444398923,489.3770833331316,234.849999999705,644.3826388888474,0.3,0.75,0.1,0.25,0.6,0.26666666666666666,0.5714285714285714,0.2,0.42857142857142855,0.5333333333333333,0.19999999999999998,0.5,0.06666666666666665,0.14285714285714285
6040,1466.540458338568,1532.9786666707757,1400.1022500063602,1117.608518520784,1311.8769999942742,1770.0841304512046,2138.6518181957813,1436.5205000096466,1369.7634482724143,60.0,60.0,27.0,10.0,23.0,37.0,11.0,20.0,29.0,31.0,16.0,S1C1609,-194.26848147349028,702.1313181861346,124.64350001537241,1021.0432996749973,0.45,0.7297297297297297,0.16666666666666666,0.2702702702702703,0.38333333333333336,0.18333333333333332,0.3548387096774194,0.3333333333333333,0.6451612903225806,0.48333333333333334,0.2833333333333333,0.45945945945945943,-0.15,-0.29032258064516125
6160,1963.5216666666868,2059.080000000028,1867.9633333333456,1489.7454545453868,1270.5,2066.5976190476545,1913.8764705882024,2100.0764705881697,2127.2153846155134,60.0,60.0,11.0,7.0,42.0,18.0,17.0,17.0,26.0,34.0,16.0,S1C1610,219.2454545453868,-186.1999999999673,829.5764705881697,424.13101604281565,0.18333333333333332,0.6111111111111112,0.11666666666666667,0.3888888888888889,0.7,0.2833333333333333,0.5,0.2833333333333333,0.5,0.43333333333333335,0.06666666666666665,0.22222222222222227,0.0,0.0
6280,2609.802499997616,2662.5149999976156,2557.089999997616,2449.019230750891,2104.416666676601,3924.4900000095367,1885.8384615549674,3086.1933333158495,4533.324999988079,60.0,60.0,26.0,24.0,10.0,50.0,26.0,30.0,4.0,56.0,16.0,S1C1611,344.60256407429006,-1200.3548717608821,981.7766666392486,-563.1807691959236,0.43333333333333335,0.52,0.4,0.48,0.16666666666666666,0.43333333333333335,0.4642857142857143,0.5,0.5357142857142857,0.06666666666666667,0.033333333333333326,0.040000000000000036,-0.06666666666666665,-0.0714285714285714
6400,4866.150833332538,6493.086666661501,3239.2150000035763,3168.079069772432,3326.786666671435,4111.849999964237,3832.3971428462437,10485.26250000298,3805.0,60.0,60.0,43.0,15.0,2.0,58.0,35.0,24.0,1.0,59.0,16.0,S1C1613,-158.70759689900297,-6652.8653571567365,7158.475833331546,664.3180730738118,0.7166666666666667,0.7413793103448276,0.25,0.25862068965517243,0.03333333333333333,0.5833333333333334,0.5932203389830508,0.4,0.4067796610169492,0.016666666666666666,0.4666666666666667,0.4827586206896552,0.18333333333333335,0.18644067796610164
6520,1518.3458333308497,1922.2533333321412,1114.4383333295584,933.6651162740797,809.8799999952316,1889.1083333343267,1672.2823529383716,1437.0923076959757,2274.1399999976156,60.0,60.0,43.0,5.0,12.0,48.0,17.0,13.0,30.0,30.0,16.0,S1C1614,123.78511627884802,235.19004524239585,627.2123077007441,738.6172366642919,0.7166666666666667,0.8958333333333334,0.08333333333333333,0.10416666666666667,0.2,0.2833333333333333,0.5666666666666667,0.21666666666666667,0.43333333333333335,0.5,0.6333333333333333,0.7916666666666667,0.06666666666666665,0.1333333333333333
6640,962.4441666665176,956.3383333325386,968.5500000004967,822.2914893614485,750.9500000029802,1829.055555558867,1119.355555554231,870.2347826089548,906.1315789457999,60.0,60.0,47.0,4.0,9.0,51.0,18.0,23.0,19.0,41.0,16.0,S1C1616,71.34148935846827,249.12077294527614,119.28478260597456,297.06406619278243,0.7833333333333333,0.9215686274509803,0.06666666666666667,0.0784313725490196,0.15,0.3,0.43902439024390244,0.38333333333333336,0.5609756097560976,0.31666666666666665,0.7166666666666667,0.8431372549019607,-0.08333333333333337,-0.12195121951219517
6760,1480.4608333333085,1551.4250000002482,1409.4966666663686,1159.0656250002794,1310.7888888873988,2388.55,1377.8545454557645,1759.4071428557593,1350.9300000026822,60.0,60.0,32.0,18.0,10.0,50.0,22.0,28.0,10.0,50.0,16.0,S1C1617,-151.7232638871194,-381.55259739999474,448.6182539683605,218.78892045548514,0.5333333333333333,0.64,0.3,0.36,0.16666666666666666,0.36666666666666664,0.44,0.4666666666666667,0.56,0.16666666666666666,0.23333333333333334,0.28,-0.10000000000000003,-0.12000000000000005
6880,3151.759999999404,3906.0,2397.519999998808,3320.979999998957,1073.1999999973923,1741.2999999995034,794.25,5694.266666666915,4077.739999999851,10.0,10.0,5.0,2.0,3.0,7.0,2.0,3.0,5.0,5.0,16.0,S1C1620,2247.7800000015645,-4900.016666666915,4621.066666669522,-2526.729999998957,0.5,0.7142857142857143,0.2,0.2857142857142857,0.3,0.2,0.4,0.3,0.6,0.5,0.3,0.4285714285714286,-0.09999999999999998,-0.19999999999999996
6900,6478.505833336711,3645.266666674614,9311.744999998808,3376.9047618990853,3504.6842105200417,21060.035000008345,3649.6320000219343,3658.0,3596.355555547608,60.0,60.0,21.0,19.0,20.0,40.0,25.0,26.0,9.0,51.0,16.0,S1C1622,-127.77944862095637,-8.367999978065654,153.3157894799583,272.72723812284903,0.35,0.525,0.31666666666666665,0.475,0.3333333333333333,0.4166666666666667,0.49019607843137253,0.43333333333333335,0.5098039215686274,0.15,0.033333333333333326,0.050000000000000044,-0.016666666666666663,-0.019607843137254888
7020,7233.1125,6161.268333333234,8304.956666666765,3304.86944444312,6130.660000002385,22715.392857144987,2852.683333337307,2955.1142857103123,12203.352380952665,60.0,60.0,36.0,10.0,14.0,46.0,18.0,21.0,21.0,39.0,16.0,S1C1623,-2825.7905555592647,-102.43095237300531,-3175.5457142920723,-452.18611110581287,0.6,0.782608695652174,0.16666666666666666,0.21739130434782608,0.23333333333333334,0.3,0.46153846153846156,0.35,0.5384615384615384,0.35,0.43333333333333335,0.5652173913043479,-0.04999999999999999,-0.07692307692307687
7140,1629.5341666666325,1831.1899999999907,1427.8783333332744,1269.1043478260121,2173.3571428571427,1725.7714285714153,1324.6619047619224,2207.6359999999404,1918.7571428571828,60.0,60.0,46.0,7.0,7.0,53.0,21.0,25.0,14.0,46.0,16.0,S1C1624,-904.2527950311305,-882.974095238018,34.27885714279773,55.55755693591027,0.7666666666666667,0.8679245283018868,0.11666666666666667,0.1320754716981132,0.11666666666666667,0.35,0.45652173913043476,0.4166666666666667,0.5434782608695652,0.23333333333333334,0.65,0.7358490566037736,-0.06666666666666671,-0.08695652173913043
7260,2802.718333331744,3203.460000004371,2401.9766666591167,2322.1115384606214,1618.7789473659113,3532.4599999745687,2476.709999990463,2973.0500000161783,4952.333333333333,60.0,60.0,26.0,19.0,15.0,45.0,20.0,28.0,12.0,48.0,16.0,S1C1628,703.3325910947101,-496.3400000257152,1354.271052650267,154.59846152984164,0.43333333333333335,0.5777777777777777,0.31666666666666665,0.4222222222222222,0.25,0.3333333333333333,0.4166666666666667,0.4666666666666667,0.5833333333333334,0.2,0.1166666666666667,0.1555555555555555,-0.13333333333333336,-0.16666666666666669
7380,16978.722499997417,16980.320000002783,16977.12499999205,2824.253333346049,12235.684999990463,29261.999999980926,15038.271428573698,11269.610526317045,24444.64500000477,60.0,60.0,15.0,20.0,25.0,35.0,21.0,19.0,20.0,40.0,16.0,S1C1629,-9411.431666644414,3768.6609022566536,-966.0744736734177,12214.01809522765,0.25,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.4166666666666667,0.35,0.525,0.31666666666666665,0.475,0.3333333333333333,-0.08333333333333331,-0.14285714285714285,0.033333333333333326,0.050000000000000044
7500,1573.6758333295584,1696.9399999986092,1450.4116666605075,1193.906666660309,866.3999999761581,2428.1615384587876,1075.3076923122774,2645.018181817098,1631.7277777741353,60.0,60.0,45.0,2.0,13.0,47.0,13.0,11.0,36.0,24.0,16.0,S1C1632,327.5066666841508,-1569.7104895048208,1778.61818184094,-118.59897434803156,0.75,0.9574468085106383,0.03333333333333333,0.0425531914893617,0.21666666666666667,0.21666666666666667,0.5416666666666666,0.18333333333333332,0.4583333333333333,0.6,0.7166666666666667,0.9148936170212767,0.033333333333333354,0.08333333333333331
7620,1419.452500000596,1643.676666667064,1195.2283333341281,635.8878787918525,2193.019999998808,1694.0705882310867,1415.26956521169,1748.7000000079472,1803.400000002384,60.0,60.0,33.0,10.0,17.0,43.0,23.0,12.0,25.0,35.0,16.0,S1C1634,-1557.1321212069556,-333.43043479625726,-444.3199999908609,779.3816864198375,0.55,0.7674418604651163,0.16666666666666666,0.23255813953488372,0.2833333333333333,0.38333333333333336,0.6571428571428571,0.2,0.34285714285714286,0.4166666666666667,0.3833333333333334,0.5348837209302326,0.18333333333333335,0.3142857142857143
7740,6013.445833334326,6098.465000001589,5928.426666667064,4273.291304347308,6892.141176472692,7012.675,6082.216666671965,5904.510714284012,6507.264285717692,60.0,60.0,23.0,17.0,20.0,40.0,18.0,28.0,14.0,46.0,16.0,S1C1635,-2618.8498721253836,177.7059523879534,-987.6304621886802,1808.9253623246568,0.38333333333333336,0.575,0.2833333333333333,0.425,0.3333333333333333,0.3,0.391304347826087,0.4666666666666667,0.6086956521739131,0.23333333333333334,0.10000000000000003,0.14999999999999997,-0.16666666666666669,-0.2173913043478261
7860,1722.7566666682562,1842.183333337307,1603.3299999992053,1196.2444444364971,2097.9888888729943,1584.5642857182593,1740.677777753936,1207.8999999880791,2019.168292696883,60.0,60.0,9.0,9.0,42.0,18.0,9.0,10.0,41.0,19.0,16.0,S1C1638,-901.7444444364971,532.7777777658569,-890.0888888849151,544.4333333174388,0.15,0.5,0.15,0.5,0.7,0.15,0.47368421052631576,0.16666666666666666,0.5263157894736842,0.6833333333333333,0.0,0.0,-0.016666666666666663,-0.05263157894736842
7980,1088.295833333085,1142.0549999994537,1034.5366666667164,746.9060000000894,2105.0666666664183,3024.125,881.6999999999448,1306.8782608683991,1465.919999999553,60.0,60.0,50.0,6.0,4.0,56.0,27.0,23.0,10.0,50.0,16.0,S1C1654,-1358.1606666663288,-425.17826086845434,-798.1884057980192,134.79399999985537,0.8333333333333334,0.8928571428571429,0.1,0.10714285714285714,0.06666666666666667,0.45,0.54,0.38333333333333336,0.46,0.16666666666666666,0.7333333333333334,0.7857142857142858,0.06666666666666665,0.08000000000000002
8100,2128.3741666666465,2132.4716666666404,2124.2766666666525,1287.7470588235267,1795.3111111110904,6419.699999999953,1702.4879999999143,1963.4333333333643,2796.7300000000046,60.0,60.0,34.0,18.0,8.0,52.0,25.0,15.0,20.0,40.0,16.0,S1C1655,-507.56405228756375,-260.94533333345,168.12222222227388,414.74094117638765,0.5666666666666667,0.6538461538461539,0.3,0.34615384615384615,0.13333333333333333,0.4166666666666667,0.625,0.25,0.375,0.3333333333333333,0.26666666666666666,0.3076923076923077,0.16666666666666669,0.25
8220,2556.5502916661694,3159.6487499987047,1953.4518333336339,2234.6375757576193,1618.1650000014545,1561.5687499957858,3825.5882142849564,2536.528870966616,3830.0599999784026,60.0,60.0,33.0,23.0,4.0,56.0,28.0,31.0,1.0,59.0,16.0,S1C1657,616.4725757561648,1289.0593433183403,918.3638709651616,1590.950638527337,0.55,0.5892857142857143,0.38333333333333336,0.4107142857142857,0.06666666666666667,0.4666666666666667,0.4745762711864407,0.5166666666666667,0.5254237288135594,0.016666666666666666,0.16666666666666669,0.1785714285714286,-0.050000000000000044,-0.050847457627118675
8340,2590.7100000013907,2739.2800000026823,2442.1400000000995,1816.8244897954319,4770.45000000298,5488.885714288269,1930.3363636420531,1510.5416666716337,3990.8807692298524,60.0,60.0,49.0,4.0,7.0,53.0,22.0,12.0,26.0,34.0,16.0,S1C1660,-2953.6255102075484,419.7946969704194,-3259.9083333313465,113.51187384662126,0.8166666666666667,0.9245283018867925,0.06666666666666667,0.07547169811320754,0.11666666666666667,0.36666666666666664,0.6470588235294118,0.2,0.35294117647058826,0.43333333333333335,0.75,0.8490566037735849,0.16666666666666663,0.29411764705882354
8460,3363.4600000003975,3834.413333333035,2892.5066666677594,3555.589743591272,1547.1684210527885,2743.10000000149,5807.855999997854,1679.2586206906828,6028.31666666766,60.0,60.0,39.0,19.0,2.0,58.0,25.0,29.0,6.0,54.0,16.0,S1C1663,2008.4213225384835,4128.597379307172,132.09019963789433,2252.266256406582,0.65,0.6724137931034483,0.31666666666666665,0.3275862068965517,0.03333333333333333,0.4166666666666667,0.46296296296296297,0.48333333333333334,0.5370370370370371,0.1,0.33333333333333337,0.3448275862068966,-0.06666666666666665,-0.07407407407407413
8580,2169.4733333326876,2594.5600000028808,1744.3866666624942,1795.3166666641123,1512.1687499918044,2532.5999999940395,2797.1555555584255,2504.7827586243893,1877.9249999970198,60.0,60.0,42.0,16.0,2.0,58.0,27.0,29.0,4.0,56.0,16.0,S1C1669,283.14791667230793,292.37279693403616,992.614008632585,1001.8388888943132,0.7,0.7241379310344828,0.26666666666666666,0.27586206896551724,0.03333333333333333,0.45,0.48214285714285715,0.48333333333333334,0.5178571428571429,0.06666666666666667,0.4333333333333333,0.4482758620689655,-0.033333333333333326,-0.035714285714285754
8700,2868.0624999996276,2901.4933333329855,2834.631666666269,2046.9138888886405,3558.705555554893,5388.71666666617,3088.809090907601,2419.37777777844,3710.236363635822,60.0,60.0,36.0,18.0,6.0,54.0,22.0,27.0,11.0,49.0,16.0,S1C1670,-1511.7916666662527,669.431313129161,-1139.3277777764533,1041.8952020189604,0.6,0.6666666666666666,0.3,0.3333333333333333,0.1,0.36666666666666664,0.4489795918367347,0.45,0.5510204081632653,0.18333333333333332,0.3,0.3333333333333333,-0.08333333333333337,-0.10204081632653056
8820,5310.9041666651765,5452.656666666269,5169.151666664084,4735.426086951857,3916.3650000035764,7229.823529404753,5150.072222219573,5852.992857139026,5041.021428580795,60.0,60.0,23.0,20.0,17.0,43.0,18.0,28.0,14.0,46.0,16.0,S1C1673,819.0610869482803,-702.9206349194528,1936.6278571354492,414.6461352677161,0.38333333333333336,0.5348837209302325,0.3333333333333333,0.46511627906976744,0.2833333333333333,0.3,0.391304347826087,0.4666666666666667,0.6086956521739131,0.23333333333333334,0.050000000000000044,0.06976744186046507,-0.16666666666666669,-0.2173913043478261
8940,2368.684166667362,3491.0,1246.3683333347242,1135.1722222240987,884.7999999970198,2928.2999999970198,2242.891666666915,2144.3724137935146,13349.114285711732,60.0,60.0,54.0,2.0,4.0,56.0,24.0,29.0,7.0,53.0,16.0,S1C1674,250.37222222707896,98.51925287340055,1259.5724137964949,1107.7194444428164,0.9,0.9642857142857143,0.03333333333333333,0.03571428571428571,0.06666666666666667,0.4,0.4528301886792453,0.48333333333333334,0.5471698113207547,0.11666666666666667,0.8666666666666667,0.9285714285714286,-0.08333333333333331,-0.09433962264150941
9060,2037.1233333331843,2073.4566666662695,2000.7900000000993,2068.3157894752526,1684.1761904727846,2269.0850000023843,1957.0999999984547,2091.266666667329,2261.526666667064,60.0,60.0,19.0,21.0,20.0,40.0,27.0,18.0,15.0,45.0,16.0,S1C1675,384.139599002468,-134.1666666688743,407.0904761945444,-111.21578947679791,0.31666666666666665,0.475,0.35,0.525,0.3333333333333333,0.45,0.6,0.3,0.4,0.25,-0.033333333333333326,-0.050000000000000044,0.15000000000000002,0.19999999999999996
9180,10402.28666666448,11428.71999999086,9375.853333338102,11952.755000013112,8075.138461534793,8093.307407410057,12011.599999982118,5591.650000001703,14123.388461530209,60.0,60.0,20.0,13.0,27.0,33.0,20.0,14.0,26.0,34.0,16.0,S1C1676,3877.616538478319,6419.949999980415,-2483.4884615330902,58.844999969005585,0.3333333333333333,0.6060606060606061,0.21666666666666667,0.3939393939393939,0.45,0.3333333333333333,0.5882352941176471,0.23333333333333334,0.4117647058823529,0.43333333333333335,0.11666666666666664,0.21212121212121215,0.09999999999999998,0.17647058823529416
9300,2729.016666666791,2770.263333332787,2687.770000000795,1878.1933333327372,2029.2999999991484,3128.63684210691,1789.689999999106,2119.49166666468,3233.815789473684,60.0,60.0,15.0,7.0,38.0,22.0,10.0,12.0,38.0,22.0,16.0,S1C1677,-151.10666666641123,-329.801666665574,90.19166666553156,-88.50333333363119,0.25,0.6818181818181818,0.11666666666666667,0.3181818181818182,0.6333333333333333,0.16666666666666666,0.45454545454545453,0.2,0.5454545454545454,0.6333333333333333,0.13333333333333333,0.3636363636363636,-0.033333333333333354,-0.09090909090909088
